sat_id,ground_station,window_start,window_end,duration_min
2,Houston,2021-03-03T20:07:00,2021-03-03T20:07:00,1.00
2,Houston,2021-03-10T18:25:00,2021-03-10T18:25:00,1.00
2,Houston,2021-03-12T04:31:00,2021-03-12T04:31:00,1.00
4,Houston,2021-03-14T22:17:00,2021-03-14T22:17:00,1.00
6,Houston,2021-03-04T00:50:00,2021-03-04T00:50:00,1.00
6,Houston,2021-03-05T10:56:00,2021-03-05T10:56:00,1.00
6,Houston,2021-03-10T23:08:00,2021-03-10T23:08:00,1.00
6,Houston,2021-03-12T09:14:00,2021-03-12T09:14:00,1.00
8,Houston,2021-03-15T03:00:00,2021-03-15T03:00:00,1.00
10,Houston,2021-03-04T05:33:00,2021-03-04T05:33:00,1.00
10,Houston,2021-03-05T15:39:00,2021-03-05T15:39:00,1.00
13,Houston,2021-03-10T08:59:00,2021-03-10T08:59:00,1.00
14,Houston,2021-03-04T10:16:00,2021-03-04T10:16:00,1.00
14,Houston,2021-03-05T20:22:00,2021-03-05T20:22:00,1.00
15,Houston,2021-03-07T19:56:00,2021-03-07T19:56:00,1.00
17,Houston,2021-03-10T13:42:00,2021-03-10T13:42:00,1.00
17,Houston,2021-03-11T23:48:00,2021-03-11T23:48:00,1.00
19,Houston,2021-03-08T00:39:00,2021-03-08T00:39:00,1.00
