Datetime (UTC),Satellite,X(km),Y(km),Z(km)
2021-03-02T00:00:00,ISS,4353.258379655735,2658.980878760168,-4501.3260893047
2021-03-02T00:10:00,ISS,2910.6964357197126,5899.431494581216,-1723.2811125365333
2021-03-02T00:20:00,ISS,189.2993645281835,6546.321925661367,1813.4744399587846
2021-03-02T00:30:00,ISS,-2615.3368127761514,4310.240589469932,4549.226414096033
2021-03-02T00:40:00,ISS,-4268.70077233047,176.3244959916981,5276.749143743204
2021-03-02T00:50:00,ISS,-4043.553365936082,-4035.1392109293865,3675.7749606593434
2021-03-02T01:00:00,ISS,-2038.1855857117932,-6469.919284406468,452.0967918974123
2021-03-02T01:10:00,ISS,864.4331837875043,-6057.716278650953,-2971.539417049177
2021-03-02T01:20:00,ISS,3388.4796909713828,-2986.6784703100348,-5088.362907857039
2021-03-02T01:30:00,ISS,4430.009982075182,1391.79413546727,-4972.576655959043
2021-03-02T01:40:00,ISS,3532.429672146573,5160.320024203057,-2674.4172052448384
2021-03-02T01:50:00,ISS,1084.199376092857,6662.11534514313,800.5000041400016
2021-03-02T02:00:00,ISS,-1841.0720368535049,5230.754899039929,3921.630755644884
2021-03-02T02:10:00,ISS,-3955.7655486507406,1495.852075228757,5311.229975654748
2021-03-02T02:20:00,ISS,-4329.662791677397,-2897.4146891223395,4357.076692787756
2021-03-02T02:30:00,ISS,-2797.6500507532055,-6015.031788017798,1479.7345247731773
2021-03-02T02:40:00,ISS,-33.88846564986928,-6484.821587318415,-2051.0535908679853
2021-03-02T02:50:00,ISS,2745.495667591999,-4105.808497224635,-4679.234468801153
2021-03-02T03:00:00,ISS,4323.209477190373,71.6388923223129,-5253.280743690987
